tod_id,tom_id,trade_date,usdrub_tod,tod_volrur,usdrub_tom,tom_volrur
774,775,2003-04-15,31.1895,3561190716.3,31.1912,1132583105
776,777,2003-04-16,31.1902,2396936136,31.1901,728974383.7
778,779,2003-04-17,31.1825,8382764924.5,31.1872,1879373744.7
780,781,2003-04-18,31.1925,3775202688.7,31.1824,1053497127
782,783,2003-04-21,31.1192,4819553234.5,31.1019,516571197.5
784,785,2003-04-22,31.1024,2079756889.6,31.1041,612439397.8
786,787,2003-04-23,31.1011,6320091111.9,31.1004,1071407064.7
788,789,2003-04-24,31.0985,2641782793.6,31.1,19479205658.5
790,791,2003-04-25,31.0984,2346654067.4,31.1,22586157315
792,793,2003-04-28,31.0998,3141050600.8,31.1,12996411670
794,795,2003-04-29,31.0976,2138273591.7,31.1,7073944510
796,797,2003-04-30,31.102,1864938751.2,31.1042,395271648.5
798,799,2003-05-05,31.1113,1816993222.7,31.1111,580844097.5
800,801,2003-05-06,31.12,3260129434.6,31.1187,351454571.5
802,803,2003-05-07,31.1077,2511046422.5,31.1002,1651732254.2
804,805,2003-05-08,31.1029,1958022314.6,31.1001,4247400362
806,807,2003-05-12,31.013,2342630421.9,31.0039,1241087374.2
808,809,2003-05-13,30.982,1564221035.2,30.98,3768815130
810,811,2003-05-14,30.9817,1255285413.7,30.9802,2088714084.3
812,813,2003-05-15,30.9785,3501286552,30.98,12055681126
814,815,2003-05-16,30.8967,4098564257.5,30.89,8905652780.5
816,817,2003-05-19,30.8907,4056745928.4,30.89,21496412937.5
818,819,2003-05-20,30.8913,3824495515.7,30.89,21191745142.2
820,821,2003-05-21,30.8927,3644783936.7,30.89,13676711122
822,823,2003-05-22,30.8085,4370741101.8,30.8081,1906960385.5
826,827,2003-05-27,30.7241,3201699144.5,30.72,19188419389
828,829,2003-05-28,30.6258,4827754291.4,30.6229,1358678791.5
830,831,2003-05-29,30.6582,2619772766.2,30.7066,2751431350
832,833,2003-05-30,30.7326,3673995291.4,30.6978,1304808940
834,835,2003-06-02,30.6492,2048130697.4,30.6504,3178749999
836,837,2003-06-03,30.7349,3221750243.6,30.7542,7024205007
838,839,2003-06-04,30.7674,3799645672.1,30.7532,11184797528
840,841,2003-06-05,30.6563,3549382724,30.645,4599164243.5
842,843,2003-06-06,30.568,2624474139.1,30.561,18424840795
844,845,2003-06-09,30.494,2406647000.3,30.4827,2387134020.2
846,847,2003-06-10,30.5693,2501518731.6,30.5691,2334626578.9
848,849,2003-06-11,30.5771,4682431524.4,30.5139,3298954230
850,851,2003-06-16,30.463,3074451654.9,30.4477,2291253958.3
852,853,2003-06-17,30.3821,4088488216.8,30.3807,3119700320
854,855,2003-06-18,30.3803,3410730017.7,30.3801,19323605419.5
856,857,2003-06-19,30.3992,3543274379.9,30.3802,11627596435
860,861,2003-06-23,30.3415,3071596453.9,30.3913,1196839070.6
862,863,2003-06-24,30.3627,4469686334.6,30.3479,3765775257
864,865,2003-06-25,30.3261,2490498822.3,30.3372,1406039622.1
866,867,2003-06-26,30.339,2844551558.1,30.3366,2648354345.5
868,869,2003-06-27,30.3515,2934713906.2,30.3552,2890271872.8
870,871,2003-06-30,30.3759,2835439090.7,30.3656,806754053
872,873,2003-07-01,30.326,2630964248.5,30.298,1429033258.5
874,875,2003-07-02,30.2843,1758274059.9,30.28,11110581336
878,879,2003-07-07,30.3022,2906798558.5,30.307,4782844192.5
880,881,2003-07-08,30.3773,4191425536.8,30.3677,3039442498
882,883,2003-07-09,30.4393,2579424006.9,30.4041,1365235815.5
884,885,2003-07-10,30.3642,2092823953.8,30.3742,1143678630.5
886,887,2003-07-11,30.3867,2355667623.6,30.3957,781109926.5
888,889,2003-07-14,30.4826,2988632302.2,30.4984,4255655680.6
890,891,2003-07-15,30.534,2822072442.7,30.5339,15683986916.5
892,893,2003-07-16,30.5099,4166099086.7,30.5023,1168938439
894,895,2003-07-17,30.4879,2894487281.3,30.4758,1024262157.5
896,897,2003-07-18,30.4367,3927161544.7,30.4307,1940718187.5
898,899,2003-07-21,30.3915,3385428923.1,30.3583,1984096108.5
900,901,2003-07-22,30.3251,2994940139.2,30.3188,3018477017.5
902,903,2003-07-23,30.3382,2479631341.8,30.3476,1033032008
904,905,2003-07-24,30.3579,2382215181.7,30.3497,1110314020
906,907,2003-07-25,30.3227,2786021759.5,30.3001,4487955126.5
908,909,2003-07-28,30.2431,2793738318.6,30.2467,5747211676.4
910,911,2003-07-29,30.2334,2030774927,30.245,11703551007.7
912,913,2003-07-30,30.2552,2855848856.1,30.2595,1033424035
914,915,2003-07-31,30.2769,3874957163.1,30.245,6500098831
916,917,2003-08-01,30.2995,2120086224.4,30.3651,2017215159.2
918,919,2003-08-04,30.3503,4332597570.9,30.3324,2695186411
920,921,2003-08-05,30.2802,2261811309,30.3032,3136167555.5
922,923,2003-08-06,30.2951,3014032420.3,30.2998,3323676335
924,925,2003-08-07,30.3264,1896433867.9,30.3367,3247514617.5
926,927,2003-08-08,30.3989,2300956832.2,30.4178,1762075313.5
928,929,2003-08-11,30.3733,3126905895.6,30.3615,871861293
930,931,2003-08-12,30.345,1803829390,30.3747,2124192006.9
932,933,2003-08-13,30.4034,3594742511.4,30.3785,3714927246.5
934,935,2003-08-14,30.3273,2469312372.2,30.3454,2138503648
936,937,2003-08-15,30.3516,2519700143.4,30.3454,1856139632
938,939,2003-08-18,30.3255,2386100680.7,30.328,1106336448.2
940,941,2003-08-19,30.3243,3556862869.2,30.3287,1799765471
942,943,2003-08-20,30.3093,5078084654.9,30.3154,1585224422.2
944,945,2003-08-21,30.3224,4239775239.2,30.3266,1818051353.6
946,947,2003-08-22,30.3116,2571270382.5,30.2814,1319997416
948,949,2003-08-25,30.2857,3024148118.3,30.3051,2045622886
950,951,2003-08-26,30.3482,4361314275.6,30.3717,2406652498
952,953,2003-08-27,30.3962,4212493372.9,30.422,2977427465
